Ref,__,A,B,C,__,____,_____,____
QA1,______________,"_______________________",_________,____,C,X,X,_____
QA2,________________,___________________,_________________,____,C,X,X,_____
QA3,"_________________________________________ ___","__________________","____________",____,C,X,X,_____
QA4,_______________________________________________________,______________________________,_________________,____,A,X,X,_____
QA5,______________________,____________,____________________,__________________,B,X,X,_____
QA6,"__________________________/______________","____","__/____","__/______",A,X,X,_____
QA7,"__________________________/______________","____","__/____","__/______",B,X,X,_____
QA8,"__________________________/______________","____","__/____","__/______",C,X,X,_____
QA9,"________________________________________","______","______","________",A,X,X,_____
QA10,"________________________________________","______","______","________",B,X,X,_____
QA11,"________________________________________","______","______","________",C,X,X,_____
QA12,"______________________________________","______","__/____","______",A,X,X,_____
QA13,"______________________________________","______","__/____","______",B,X,X,_____
QA14,"______________________________________","______","__/____","______",C,X,X,_____
QA15,"______________________________________","____","__/____","________/__",A,X,X,_____
QA16,"______________________________________","____","__/____","________/__",B,X,X,_____
QA17,"______________________________________","____","__/____","________/__",C,X,X,_____
QA18,"______________________________________","____","____","__/____",A,X,X,_____
QA19,"______________________________________","____","____","__/____",B,X,X,_____
QA20,"______________________________________","____","____","__/____",C,X,X,_____
QA21,____________?,7,8,9,C,X,X,____
QA22,____________?,2013_1_,2013_6_,2013_12_,B,X,X,____
QA23,____________?,_________________,"____________________________________",____,C,X,X,____
QA24,____________________?,____,"____________________/__",____,C,X,X,____
QA25,"_________ - ___________________?",_______,"_SHEQ-ITN-002 ___________________________",__________,B,X,,____
QA26,_________ - ________________?,_____________________________,"__________________________________",____________________________,B,X,,____
QA27,"_________ - ___________________________________?","_________/____(___________)__________",____________,________________,A,X,,____
QA28,"_________ - _____________2___________________________?","__________",_________________,_______________________,A,X,X,____
QA29,"_________ - _______________?",__2_______,__1_______,"___________",C,X,X,____
QA30,"_________ - _______________?","___________","_______","__________",A,X,X,____
QA31,"_________ -________________________________________?",__________,____,____,A,X,X,____
QA32,_________ - _____________________________________________?,_______,___________________,____,B,X,X,____
QA33,_________ - _______________________________________…,"______",________________________,"________",B,X,X,____
QA34,___________?,_____,____,"________________300__________________________________",C,X,X,____
QA35,______________________________________,____,____,____,C,X,X,________
QA36,_______________________________________,____,____,____,C,X,X,________
QA37,________________________…,__,__,_____,C,X,X,________
QA38,____________________________________________________,____,____,____,A,X,X,________
QA39,_____________________________________________________________,____,____,____,C,X,,________
QA40,_______ ____________ _______________________________,_______,________,_______,A,X,,________
QA41,__________________________________________,______,______,_________,C,X,,________
QA42,______________________________________________…,___,___,___,C,X,,________
QA43,______________________________________________________________,____,____,____,B,X,,________
QA44,________________________________________________________,__________,__________,________,B,X,,________
QA45,_______________________________,______,______,______,B,X,,________
QA46,__________________________________________________?,____,_________,____,B,X,X,________
QA47,_________________________________,__,____,____,C,X,X,________
QA48,_______________________,_______,_________,____________,C,X,X,________
QA49,_________________________________,____,____,_______,C,X,,________
QA50,____________________________________________________________?,________,____,______,C,X,X,________
QA51,__________________________________________________,_____,__,_____,C,X,X,________
QA52,___________________…,_____,__,__,A,X,,________
QA53,_______________________________________…,___,_______,____,B,X,,________
QA54,__________________________,_______,___________________,____,B,X,,________
QA55,______________________________________________________,_____,_____,_____,A,X,X,________
QA56,__________________________________________________?,___,___,___,B,X,,________
QA57,__________________________________________________?,______,______,______,A,X,,________
QA58,_______________________,____,_______,____,B,X,X,________
QA59,__________________________________________________________,______,______,________,B,X,X,________
QA60,______________________________…,____,____,____,C,X,,________
QA61,__________________________________,____,___,_____,C,X,X,________
QA62,____________________________,____,____,____,A,X,X,________
QA63,_____________________________,____,____________,____,B,X,X,________
QA64,________________________________________,__,___,__,A,X,X,________
QA65,__________________________…,__,___,___,B,X,X,________
QA66,_______________________________________________________________…,__,__,__,C,X,,________
QA67,_________________,____,____________________________________,__________________________________,B,X,,________
QA68,______________________? ,_____,__________ ,_______,A,X,,________
QA69,________________ / _______,__________,_______,_______________,C,X,X,________
QA70,_______________________________________________________________,__________________,____,____,A,X,,________
QA71,_________________________________? ,_____________,______________________________,___________,B,X,,________
QA72,_____________________________________?,_____________,__________________________________,____,C,X,,________
QA73,__________________________,________,____,______________________,C,X,,________
QA74,______________________________…,__________________,_____________________________________,_________________________________,C,X,X,________
QA75,______________,_____________,___________________,___________________,B,X,X,____ Mindful Leadership
QA76,______________,____,______________,______,C,X,X,____ Mindful Leadership
QA77,_________________,______________,_________________________,______________________,A,X,X,____ Mindful Leadership
QA78,_________________,_______________,___________,______,C,X,X,____ Mindful Leadership
QA79,_________________,____________________,_____________,__________________________________,B,X,X,____ Mindful Leadership
QA80,_____________________…,__________,___________,____________,B,X,X,____ Mindful Leadership
QA81,_______________…,________________________,____________,_____________,C,X,X,____ Mindful Leadership
QA82,____________________________________…,____________________,______,____________________,B,X,X,____ Mindful Leadership
QA83,____________________________,____________________________,__________________________________,________________________,C,X,X,____ Mindful Leadership
QA84,__________________________…,_______________________________,___________________________________,________________,C,X,X,____ Mindful Leadership
QA85,__________________________…,__________________________,________________,_______________________,B,X,X,____ Mindful Leadership
QA86,___________________,__________________,_______________________,___________________,A,X,X,____ Mindful Leadership
QA87,_______________…,_________________________,__________________,_________________________,B,X,X,____ Mindful Leadership
QA88,____________________…,_______,______________________,____________,A,X,X,____ Mindful Leadership
QA89,_____________________…,___________________,_________________,____________________________,A,X,X,____ Mindful Leadership
QA90,_____________________________________,__________________________,____________________,__________________,C,X,X,____ Mindful Leadership
QA91,_________________________________________,________________________,__________________________,____________________,B,X,X,____ Mindful Leadership
QA92,___________________________________,__________________________________,_____________________,__________________________________________________________,C,X,X,____ Mindful Leadership
QA93,_________________________,__________________________,______________________,_______________,B,X,,____ Mindful Leadership
QA94,___________________,_____________________________________,___________________________________________,_____________________________________,C,X,X,____ Mindful Leadership
QA95,____________________________,_____________________________________,______________________________________________________________,_______________________,B,X,X,____ Mindful Leadership
QA96,_____________________________,____________________________,_____________________,______________________________,C,X,X,____ Mindful Leadership
QA97,________________,____________,__________________,_____________________,B,X,X,____ Mindful Leadership
QA98,___________________________,________________________________,__________________,________,A,X,,____ Mindful Leadership
QA99,______________,200 ___,400 ___,600 ___,B,X,X,________
QA100,________________?,___,____,______,C,X,X,________
QA101,______________________,___,___,_______,C,X,X,________
QA102,________________,______________,____________,_________________,C,X,X,________
QA103,_________________?,________,________,______,C,X,X,________
QA104,_______________[_509 _]________?,__________________,_____,____________________,B,X,X,________
QA105,_____________________?,____________,_______,____________,A,X,X,________
QA106,______________?,________________,____________,_______________,A,X,X,________
QA107,____________________?,________________,__________________,______,C,X,X,________
QA108,_________________________________?,_____,_____,______,B,X,X,________
QA109,_________?,____,________,______,B,X,X,________
QA110,______________,_________,___________,______,B,X,X,________
QA111,_____________,_________,______,___________,B,X,X,________
QA112,_________________________?,___________________,_______________________,______,C,X,X,________
QA113,__________________________,____,____,__,A,X,X,________
QA114,_________________________________________,450__,900__,1200__,B,X,X,________
QA115,___( W o r k s t a t i o n )____?,_____,_____________________,______,C,X,X,________
QA116,________________,__1_,__2_,__3_,B,X,X,________
QA117,___________1_?,___,___,__,B,X,X,________
QA118,_________________…,__,____,__,B,X,X,________
QA119,_______________,__,__,__,C,X,X,________
QA120,__________________________,5S,5R,5X,A,X,X,________
QA121,_____[_509B _] ____________?,___,_______________________,___,B,X,X,________
QA122,________________________________?,_______,___,___,A,X,X,________
QA123,________________________,______,_____,____,B,X,X,________
QA124,_____________________?,_,__,____,C,X,X,________
QA125,____________________?,____,___________________,____,B,X,X,________
QA126,__________________?,______,____,_____________,C,X,X,________
QA127,___________?,____,_____,_____,A,X,X,________
QA128,______________6 __/ _____ “_____” ; “________” ; “______” ; “_________” ; “__________” ; _________,_________,____,____,A,X,,4-3-6 Contractor Management
